volt_input(V),volt_measured(V),Maximum_error_range(V),actual_error(V),over_range,vdd(V)
0.000000,0.000000,0.015000,0.000000,no,3.260648
0.050000,0.050349,0.015750,0.000349,no,3.263928
0.100000,0.100291,0.016500,0.000291,no,3.263461
0.150000,0.149591,0.017250,0.000409,no,3.262760
0.200000,0.201187,0.018000,0.001187,no,3.262291
0.250000,0.249202,0.018750,0.000798,no,3.263228
0.300000,0.300342,0.019500,0.000342,no,3.263228
0.350000,0.349821,0.020250,0.000179,no,3.263225
0.400000,0.397835,0.021000,0.002165,no,3.262994
0.450000,0.450167,0.021750,0.000167,no,3.263694
0.500000,0.499007,0.022500,0.000993,no,3.263928
0.550000,0.551335,0.023250,0.001335,no,3.260414
0.600000,0.598257,0.024000,0.001743,no,3.263461
0.650000,0.649849,0.024750,0.000151,no,3.263694
0.700000,0.699242,0.025500,0.000758,no,3.264395
0.750000,0.749090,0.026250,0.000910,no,3.263461
0.800000,0.799405,0.027000,0.000595,no,3.263928
0.850000,0.847150,0.027750,0.002850,no,3.263461
0.900000,0.899194,0.028500,0.000806,no,3.260648
0.950000,0.947307,0.029250,0.002693,no,3.263461
1.000000,0.998445,0.030000,0.001555,no,3.263228
1.050000,1.047553,0.030750,0.002447,no,3.263694
1.100000,1.097224,0.031500,0.002776,no,3.262756
1.150000,1.147449,0.032250,0.002551,no,3.264395
1.200000,1.197939,0.033000,0.002061,no,3.263928
1.250000,1.247331,0.033750,0.002669,no,3.263928
1.300000,1.297463,0.034500,0.002537,no,3.263694
1.350000,1.347220,0.035250,0.002780,no,3.263461
1.400000,1.398544,0.036000,0.001456,no,3.263228
1.450000,1.446376,0.036750,0.003624,no,3.260413
1.500000,1.496315,0.037500,0.003685,no,3.263461
1.550000,1.545340,0.038250,0.004660,no,3.262994
1.600000,1.596388,0.039000,0.003612,no,3.262994
1.650000,1.647981,0.039750,0.002019,no,3.263694
1.700000,1.697098,0.040500,0.002902,no,3.263694
1.750000,1.747136,0.041250,0.002864,no,3.263461
1.800000,1.796892,0.042000,0.003108,no,3.262053
1.850000,1.846649,0.092000,0.003351,no,3.263461
1.900000,1.880264,0.142000,0.019736,no,3.264162
